#フレーム,タイプ,プレハブ名,X,Y,HP,HPバー表示,スコア,撃破時クリアフラグ,撃破時遷移先フレーム,撃破時生成プレハブ名
1640,P,Enemy1,7,1.7,1,0,50,0,-1,NULL
1650,P,Enemy1,7,1.6,1,0,50,0,-1,NULL
1660,P,Enemy1,7,1.5,1,0,50,0,-1,NULL
1670,P,Enemy1,7,1.4,1,0,50,0,-1,NULL
1680,P,Enemy1,7,1.3,1,0,50,0,-1,NULL
1690,P,Enemy1,7,1.2,1,0,50,0,-1,NULL
1700,P,Enemy1,7,1.1,1,0,50,0,-1,NULL
1710,P,Enemy1,7,1,1,0,50,0,-1,NULL
1720,P,Enemy1,7,4,1,0,50,0,-1,NULL
1730,P,Enemy1,7,-4,1,0,50,0,-1,NULL
1740,P,Enemy1,7,4,1,0,50,0,-1,NULL
1750,P,Enemy1,7,3.9,1,0,50,0,-1,NULL
1760,P,Enemy1,7,3.8,1,0,50,0,-1,NULL
1770,P,Enemy1,7,3.7,1,0,50,0,-1,NULL
1780,P,Enemy1,7,3.6,1,0,50,0,-1,NULL
1790,P,Enemy1,7,3.5,1,0,50,0,-1,NULL
1800,P,Enemy1,7,3.4,1,0,50,0,-1,NULL
1810,P,Enemy1,7,3.3,1,0,50,0,-1,NULL
1820,P,Enemy1,7,3.2,1,0,50,0,-1,NULL
1830,P,Enemy1,7,3.1,1,0,50,0,-1,NULL
1840,P,Enemy1,7,4,1,0,50,0,-1,NULL
1850,P,Enemy1,7,-4,1,0,50,0,-1,NULL
1860,P,Enemy1,7,3,1,0,50,0,-1,NULL
1870,P,Enemy1,7,2.9,1,0,50,0,-1,NULL
1880,P,Enemy1,7,2.8,1,0,50,0,-1,NULL
1890,P,Enemy1,7,2.7,1,0,50,0,-1,NULL
1900,P,Enemy1,7,2.6,1,0,50,0,-1,NULL
1910,P,Enemy1,7,2.5,1,0,50,0,-1,NULL
1920,P,Enemy1,7,2.4,1,0,50,0,-1,NULL
1930,P,Enemy1,7,2.3,1,0,50,0,-1,NULL
1940,P,Enemy1,7,2.2,1,0,50,0,-1,NULL
1950,P,Enemy1,7,2.1,1,0,50,0,-1,NULL
1960,P,Enemy1,7,2,1,0,50,0,-1,NULL
1970,P,Enemy1,7,1.9,1,0,50,0,-1,NULL
1980,P,Enemy1,7,1.8,1,0,50,0,-1,NULL
1990,P,Enemy1,7,1.7,1,0,50,0,-1,NULL
2000,P,Enemy1,7,1.6,1,0,50,0,-1,NULL
2010,P,Enemy1,7,1.5,1,0,50,0,-1,NULL
2020,P,Enemy1,7,1.4,1,0,50,0,-1,NULL
2030,P,Enemy1,7,1.3,1,0,50,0,-1,NULL
2040,P,Enemy1,7,1.2,1,0,50,0,-1,NULL
2050,P,Enemy1,7,1.1,1,0,50,0,-1,NULL
2060,P,Enemy1,7,1,1,0,50,0,-1,NULL
2500,P,Enemy1,7,4,1,0,50,0,-1,NULL
2510,P,Enemy1,7,-4,1,0,50,0,-1,NULL
2520,P,Enemy1,7,4,1,0,50,0,-1,NULL
2530,P,Enemy1,7,3.9,1,0,50,0,-1,NULL
2540,P,Enemy1,7,3.8,1,0,50,0,-1,NULL
2550,P,Enemy1,7,3.7,1,0,50,0,-1,NULL
2560,P,Enemy1,7,3.6,1,0,50,0,-1,NULL
2570,P,Enemy1,7,3.5,1,0,50,0,-1,NULL
2580,P,Enemy1,7,3.4,1,0,50,0,-1,NULL
2590,P,Enemy1,7,3.3,1,0,50,0,-1,NULL
2600,P,Enemy1,7,3.2,1,0,50,0,-1,NULL
2610,P,Enemy1,7,3.1,1,0,50,0,-1,NULL
2620,P,Enemy1,7,4,1,0,50,0,-1,NULL
2630,P,Enemy1,7,-4,1,0,50,0,-1,NULL
2640,P,Enemy1,7,3,1,0,50,0,-1,NULL
2650,P,Enemy1,7,2.9,1,0,50,0,-1,NULL
2660,P,Enemy1,7,2.8,1,0,50,0,-1,NULL
2670,P,Enemy1,7,2.7,1,0,50,0,-1,NULL
2680,P,Enemy1,7,2.6,1,0,50,0,-1,NULL
2690,P,Enemy1,7,2.5,1,0,50,0,-1,NULL
2700,P,Enemy1,7,2.4,1,0,50,0,-1,NULL
2710,P,Enemy1,7,2.3,1,0,50,0,-1,NULL
2720,P,Enemy1,7,2.2,1,0,50,0,-1,NULL
2730,P,Enemy1,7,2.1,1,0,50,0,-1,NULL
2740,P,Enemy1,7,2,1,0,50,0,-1,NULL
2750,P,Enemy1,7,1.9,1,0,50,0,-1,NULL
2760,P,Enemy1,7,1.8,1,0,50,0,-1,NULL
2770,P,Enemy1,7,1.7,1,0,50,0,-1,NULL
2780,P,Enemy1,7,1.6,1,0,50,0,-1,NULL
2790,P,Enemy1,7,1.5,1,0,50,0,-1,NULL
2800,P,Enemy1,7,1.4,1,0,50,0,-1,NULL
2810,P,Enemy1,7,1.3,1,0,50,0,-1,NULL
2820,P,Enemy1,7,1.2,1,0,50,0,-1,NULL
2830,P,Enemy1,7,1.1,1,0,50,0,-1,NULL
2840,P,Enemy1,7,1,1,0,50,0,-1,NULL
2850,P,Enemy1,7,1,1,0,50,0,-1,NULL
2860,P,Enemy1,7,1,1,0,50,0,-1,NULL
2870,P,Enemy1,7,1,1,0,50,0,-1,NULL
2880,P,Enemy1,7,1,1,0,50,0,-1,NULL
2890,P,Enemy1,7,1,1,0,50,0,-1,NULL
2900,P,Enemy1,7,1,1,0,50,0,-1,NULL
2910,P,Enemy1,7,1,1,0,50,0,-1,NULL
3500,P,FukuLv4,7,0,1500,1,10000,1,-1,NULL
4000,P,Item1,7,0,0,0,0,0,-1,NULL
4500,P,Item1,7,0,0,0,0,0,-1,NULL
5000,P,Item2,7,0,0,0,0,0,-1,NULL
5001,F,3501,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
